gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4
0	7126	2861	9816	0	9871	0	9906	0	10007	0
1	7915	2035	7241	2834	8299	1575	8925	1068	6892	3091
2	7790	2142	7209	2752	8422	1540	9024	1094	7044	3103
3	10138	0	7726	2178	10040	0	9943	0	9801	0
4	10011	0	7275	2809	8390	1499	9898	0	7050	3043
5	9821	0	10092	0	9858	0	8576	1461	9990	0
6	10116	0	10109	0	8285	1852	9170	901	8207	1947
7	9996	0	7299	2849	8665	1491	10098	0	7018	3047
8	6950	2928	9980	0	9980	0	9922	0	9685	0
9	4989	5060	7217	2740	6911	3128	6469	3532	5010	4952
10	7892	2087	7199	2791	8447	1523	8788	1069	6940	3092
11	10174	0	7183	2801	8513	1483	9940	0	6938	3077
12	7940	2141	7009	2803	8426	1484	8847	1032	7002	3124
13	10032	0	10160	0	8499	1578	8441	1617	10150	0
14	5023	5006	7073	2803	8618	1562	8893	1082	6957	3066
15	7826	2201	7235	2834	8529	1518	8939	1051	6949	3148
16	9829	0	10047	0	8400	1609	8301	1574	9965	0
17	10025	0	9979	0	10029	0	10069	0	9971	0
18	9943	0	7906	2184	10264	0	9940	0	9904	0
19	10121	0	7157	2815	8628	1540	9883	0	6791	3126
20	9887	0	7732	2190	9900	0	9902	0	9951	0
21	10091	0	9983	0	8570	1641	8344	1513	10007	0
22	9873	0	7279	2694	8444	1482	9995	0	6880	3014
23	5063	5043	7172	2774	8369	1558	8814	1043	6921	3008
24	10090	0	9993	0	8118	1846	9114	960	8114	1918
25	7181	2941	9991	0	9908	0	9896	0	9953	0
26	10117	0	10205	0	8163	1823	8982	952	8001	1971
27	5097	5131	7220	2717	8481	1519	9100	1050	6838	3025
28	9895	0	10085	0	8112	1689	8460	1649	10228	0
29	7146	2909	9854	0	9958	0	9893	0	9958	0
30	7634	2101	7261	2852	8404	1507	8999	1051	6908	3037
31	10140	0	9962	0	9927	0	10132	0	9744	0
32	9910	0	9946	0	8359	1726	8429	1625	9953	0
33	9902	0	9975	0	8345	1624	8411	1548	10181	0
34	4957	4874	7254	2707	6792	3118	6413	3611	4930	5096
35	9860	0	7203	2772	8607	1465	10086	0	6901	3057
36	10057	0	10098	0	10072	0	9936	0	10013	0
37	9947	0	10062	0	10063	0	8662	1464	9988	0
38	7978	2211	7182	2853	8593	1489	9061	1030	7037	3032
39	10031	0	7154	2813	8540	1487	9987	0	6873	3020
40	9806	0	9964	0	8261	1689	8427	1557	10120	0
41	7942	2110	7258	2769	8618	1558	8967	1053	6969	2972
42	7784	2081	7251	2828	8656	1473	8897	1045	7056	3096
43	9996	0	10027	0	8097	1877	9142	956	8009	1901
44	9938	0	9926	0	9797	0	8704	1497	10012	0
45	4944	5040	7250	2827	8498	1476	9004	978	6850	3058
46	7961	2046	7137	2819	8503	1504	8853	1089	7090	3036
47	9927	0	9946	0	9782	0	8455	1402	10234	0
48	9975	0	10104	0	8407	1570	8469	1551	10072	0
49	9998	0	7232	2796	8660	1557	10043	0	6835	3132
50	10231	0	9900	0	10081	0	8525	1433	10058	0
51	5001	5015	7215	2693	6828	3127	6452	3480	5126	4937
52	7783	2152	7159	2814	8360	1522	8790	992	6896	3085
53	9920	0	10019	0	8529	1623	8315	1615	9861	0
54	9864	0	10047	0	8202	1608	8317	1675	9905	0
55	9939	0	7189	2819	8539	1505	10018	0	7137	3053
56	7770	2130	7248	2901	8609	1524	9048	971	7000	3022
57	7784	2017	7269	2764	8485	1556	9013	1021	6995	3064
58	9846	0	9940	0	8236	1788	9079	924	7979	2004
59	9997	0	9937	0	8365	1679	8435	1567	9922	0
60	7116	2938	9913	0	10214	0	9905	0	10004	0
61	9939	0	7237	2804	8372	1507	9984	0	6838	3001
62	10095	0	9953	0	10174	0	9970	0	10064	0
63	7004	2885	10013	0	9880	0	10035	0	9939	0
64	7687	2100	7246	2774	8492	1478	9031	1005	7025	3000
65	9868	0	10021	0	9903	0	8506	1450	9879	0
66	10050	0	9892	0	10173	0	10182	0	9939	0
67	7266	2876	10022	0	10181	0	9928	0	10114	0
68	5090	4902	7108	2761	6847	3186	6442	3597	5057	5048
69	9797	0	7270	2866	8450	1507	10059	0	6771	3133
70	10019	0	10136	0	8284	1621	8483	1583	9940	0
71	9944	0	7271	2767	8530	1524	9891	0	6959	2975
72	9971	0	7145	2749	8498	1503	10066	0	6829	3101
73	10208	0	9900	0	10011	0	8655	1417	9998	0
74	9986	0	10047	0	8228	1631	8274	1540	9891	0
75	10004	0	7764	2197	10010	0	10137	0	10079	0
76	10030	0	7155	2780	8456	1490	9988	0	6976	3159
77	5017	5049	7412	2811	6808	3130	6501	3639	4901	5138
78	9990	0	9962	0	9986	0	8588	1452	10006	0
79	7904	2125	7183	2722	8479	1541	8984	1092	6804	3008
80	10026	0	10073	0	8425	1597	8428	1555	10102	0
81	7790	2153	7295	2735	8509	1538	8975	1053	6984	2999
82	5025	5022	7292	2755	6832	3136	6352	3452	4928	5069
83	9984	0	7749	2258	9943	0	10054	0	10006	0
84	8035	2146	7123	2789	8372	1547	8868	1063	6857	3195
85	10096	0	7228	2828	8378	1492	9894	0	6892	3072
86	10248	0	9804	0	10153	0	8594	1459	10012	0
87	7848	2168	7283	2893	8446	1539	8837	1038	6795	3035
88	9979	0	9991	0	8516	1649	8410	1681	9848	0
89	5000	4908	7164	2729	6872	3196	6313	3546	4976	4838
90	10098	0	7239	2795	8525	1495	9965	0	6958	3102
91	10133	0	7064	2893	8375	1508	10066	0	6971	3051
92	10112	0	10086	0	9986	0	8692	1406	10035	0
93	10111	0	7782	2211	10039	0	10166	0	10121	0
94	10092	0	9948	0	8479	1626	8512	1610	10120	0
95	7016	2876	9980	0	9873	0	10038	0	9831	0
96	5041	4924	7329	2621	8384	1608	9060	1058	6834	3047
97	4950	5090	7066	2845	6887	3096	6312	3644	5050	4952
98	9967	0	10076	0	9981	0	9884	0	9880	0
99	4975	5028	7259	2950	6966	3158	6427	3560	4989	5040
